agent,query,description,expected_tools,actual_tools,match,success
sentiment,How is the market feeling about Public Bank?,Company name - market feeling,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_article_sentiment, get_recent_articles, resolve_ticker_symbol",EXACT,True
sentiment,What are people saying about Tenaga Nasional?,Company name - public opinion,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_article_sentiment, get_recent_articles, resolve_ticker_symbol",EXACT,True
sentiment,Is there positive news about Petronas Chemicals?,Company name - positive news check,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_article_sentiment, get_recent_articles, resolve_ticker_symbol",EXACT,True
sentiment,Get recent news articles about Hong Leong Bank,Recent news request,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_article_sentiment, get_recent_articles, resolve_ticker_symbol",EXACT,True
sentiment,What news has been published about IHH Healthcare recently?,Recent publications query,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_article_sentiment, get_recent_articles, resolve_ticker_symbol",EXACT,True
sentiment,Show me the latest headlines for Press Metal,Latest headlines request,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_recent_articles, resolve_ticker_symbol",PARTIAL,True
sentiment,Is the sentiment for Gamuda improving or declining?,Sentiment trend analysis,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_article_sentiment, get_recent_articles, resolve_ticker_symbol",EXACT,True
sentiment,Has there been negative news about RHB Bank?,Negative news check,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_article_sentiment, get_recent_articles, resolve_ticker_symbol",EXACT,True
sentiment,What is the overall mood around Maxis?,Overall mood assessment,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_article_sentiment, get_recent_articles, resolve_ticker_symbol",EXACT,True
sentiment,"Based on news, should I be worried about Axiata?",Concern assessment from news,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_article_sentiment, get_recent_articles, resolve_ticker_symbol",EXACT,True
sentiment,Is media sentiment bullish or bearish on YTL Power?,Bullish/bearish sentiment,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_article_sentiment, get_recent_articles, resolve_ticker_symbol",EXACT,True
sentiment,Analyze investor sentiment for Sime Darby,Investor sentiment analysis,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_article_sentiment, get_recent_articles, resolve_ticker_symbol",EXACT,True
sentiment,What do news articles say about SD Guthrie's outlook?,Outlook from news,"get_article_sentiment, get_recent_articles, resolve_ticker_symbol","get_article_sentiment, get_recent_articles, resolve_ticker_symbol",EXACT,True
valuation,Analyze the risk metrics for 1155.KL,Direct ticker - risk metrics,analyze_stock_metrics,analyze_stock_metrics,EXACT,True
valuation,What is the volatility of 1023.KL?,Direct ticker - volatility,analyze_stock_metrics,analyze_stock_metrics,EXACT,True
valuation,Calculate the Sharpe ratio for 5819.KL,Direct ticker - Sharpe ratio,analyze_stock_metrics,analyze_stock_metrics,EXACT,True
valuation,What is the risk profile of Maybank?,Company name - risk profile,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
valuation,Analyze CIMB's stock volatility,Company name - volatility analysis,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
valuation,What is the Value at Risk for Public Bank?,Company name - VaR calculation,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
valuation,Calculate the maximum drawdown for Tenaga Nasional,Company name - max drawdown,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
valuation,How risky is investing in Petronas Gas?,Company name - risk assessment,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
valuation,Get the historical stock prices for Hong Leong Bank,Historical price data request,"analyze_stock_metrics, resolve_ticker_symbol","get_stock_data, resolve_ticker_symbol",PARTIAL,True
valuation,Show me IHH Healthcare's price performance over the past year,Price performance query,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
valuation,What are the trading volumes for Press Metal?,Volume data request,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
valuation,Evaluate the risk-adjusted returns of Gamuda,Risk-adjusted returns,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
valuation,Is RHB Bank a low-risk investment?,Low-risk assessment,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
valuation,What is the annualized return for Sunway?,Annualized return calculation,"analyze_stock_metrics, resolve_ticker_symbol",resolve_ticker_symbol,PARTIAL,True
valuation,Is YTL Corporation suitable for a conservative investor?,Conservative investor suitability,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
valuation,Analyze Axiata's risk for an aggressive portfolio,Aggressive portfolio risk,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
valuation,What is the downside risk of MISC Berhad?,Downside risk analysis,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
valuation,Calculate risk metrics for IOI Corporation,General risk metrics,"analyze_stock_metrics, resolve_ticker_symbol","analyze_stock_metrics, resolve_ticker_symbol",EXACT,True
